PLACE	DATE	TIME	DURATION	CATEGORY	CTITLE	ETITLE	GRADE	REMARK	PAGE
新光 3 廳	2009/11/17	21:00	90	(影迷嘉年華) 名家饗宴	天堂五分鐘	Five Minutes of Heaven	輔PG		49
新光 3 廳	2009/11/18	13:30	85	(酷電影) 搖滾啟示錄	明日狂歡派對	All Tomorrow's Parties	普G		84
新光 3 廳	2009/11/18	15:30	102	(酷電影) 我是傳奇	草間彌生之我是女王	I Adore Myself	普G		86
新光 3 廳	2009/11/18	17:40	82	(奇幻世界) 短片動畫	短片動畫1-畫外之音	Short Cuts & Animation 1 -Beyond the Frame	普G		126
新光 3 廳	2009/11/18	19:30	85	(奇幻世界) 吸血鬼之夜	吸血鬼少女大戰科學女怪人	Vampire Girl vs. Frankenstein Girl	限R		117
新光 3 廳	2009/11/18	21:30	107	(奇幻世界) 限制級禁區	超激！A幫生與死	Life and Death of a Porno Gang	限R		122
新光 3 廳	2009/11/19	14:10	100	(酷電影) 我是傳奇	席德與南西的真實故事	Who Killed Nancy?	護PG		86
新光 3 廳	2009/11/19	16:20	96	(影迷嘉年華) 名家饗宴	心靈戰火	Life During Wartime	普G		47
新光 3 廳	2009/11/19	18:30	90	(全球華人視野) 台灣短打	2010台灣新勢力			★◎	78
新光 3 廳	2009/11/19	20:30	75	(全球華人視野) 台灣短打	台灣短打1：片刻暖和 + Happy Ending + 馬嘎巴海	Made in Taiwan 1: Sleeping With Her + Happy Ending + Magabahai	普G	★	74
新光 3 廳	2009/11/20	11:30	95	(特別企劃) 我們曾經如此自由… 速寫 1989 ~ 1990 柏林圍牆紀念專題	不曾結束的故事	The Irrational Remains	普G	▲	41
新光 3 廳	2009/11/20	13:30	107	(奇幻世界) 限制級禁區	超激！A幫生與死	Life and Death of a Porno Gang	限R		122
新光 3 廳	2009/11/20	15:50	129	(特別企劃) 我們曾經如此自由… 速寫 1989 ~ 1990 柏林圍牆紀念專題	心中的秘密 + 我將與你相遇	Last to Know + My Brother, We'll Meet Again	普G	★▲	40
新光 3 廳	2009/11/20	19:00	87	(全球華人視野) 台灣短打	台灣短打2：狙擊手 + 生日願望 + 大雨	Made in Taiwan 2: Real Sniper + Birthday + Chrismas Rain	普G	★	75
新光 3 廳	2009/11/20	21:30	88	(全球華人視野) 華人獨立影像	姣妹日記	People I've Slept With	限R	★	70
新光 3 廳	2009/11/21	11:00	87	(奇幻世界) 短片動畫	短片動畫2-狂想馬戲團	Short Cuts & Animation 2 -Imaginary Circus	普G		127
新光 3 廳	2009/11/21	13:00	96	(影迷嘉年華) 名家饗宴	心靈戰火	Life During Wartime	普G		47
新光 3 廳	2009/11/21	15:10	82	(酷電影) 我是傳奇	米歇爾龔特利小時候	The Thorn in the Heart	普G		87
新光 3 廳	2009/11/21	17:00	88	(全球華人視野) 台灣短打	台灣短打3：你是否聽見花開 + 我愛耳邊風 + 時代照相館	Made in Taiwan 3: Do You Hear the Flowers Bloom + A Mind of My Own + Time Lapse	普G	★	76
新光 3 廳	2009/11/21	19:30	50	(酷電影) 搖滾啟示錄	聽時代在唱歌之唱自己的歌	The Golden Era of Taiwanese Pop Music: Sing Our Own Songs	普G	★▲	84
新光 3 廳	2009/11/21	21:20	93	(酷電影) 搖滾啟示錄	歡樂分隊	Joy Division	普G		83
新光 3 廳	2009/11/21	23:20	85	(奇幻世界) 吸血鬼之夜	吸血鬼少女大戰科學女怪人	Vampire Girl vs. Frankenstein Girl	限R		117
新光 3 廳	2009/11/22	11:00	129	(特別企劃) 我們曾經如此自由… 速寫 1989 ~ 1990 柏林圍牆紀念專題	心中的秘密 + 我將與你相遇	Last to Know + My Brother, We'll Meet Again	普G	★▲	40
新光 3 廳	2009/11/22	14:00	102	(酷電影) 我是傳奇	草間彌生之我是女王	I Adore Myself	普G		86
新光 3 廳	2009/11/22	16:20	87	(全球華人視野) 台灣短打	台灣短打2：狙擊手 + 生日願望 + 大雨	Made in Taiwan 2: Real Sniper + Birthday + Chrismas Rain	普G	★	75
新光 3 廳	2009/11/22	18:50	84	(特別企劃) 我們曾經如此自由… 速寫 1989 ~ 1990 柏林圍牆紀念專題	決戰時裝東柏林	Comrade Couture	護PG	★	40
新光 3 廳	2009/11/22	21:10	94	(影迷嘉年華) 名家饗宴	詭房客	Nucingen House	護PG		46
新光 3 廳	2009/11/22	23:10	85	(酷電影) 搖滾啟示錄	明日狂歡派對	All Tomorrow's Parties	普G		84
新光 3 廳	2009/11/23	10:30	133	(特別企劃) 我們曾經如此自由… 速寫 1989 ~ 1990 柏林圍牆紀念專題	尼可拉教堂	Nikolaichurch	普G	▲	41
新光 3 廳	2009/11/23	13:10	88	(全球華人視野) 華人獨立影像	姣妹日記	The People I've Slept With	限R	★	70
