PLACE	DATE	TIME	DURATION	CATEGORY	CTITLE	ETITLE	GRADE	REMARK	PAGE
宜蘭演藝廳	11/11	15:00	98	入圍影片	浮城謎事	Mystery	輔		53
宜蘭演藝廳	11/11	17:20	93	影迷嘉年華 / 歐洲速寫	嫁禍	Kuma	護	▲	146
宜蘭演藝廳	11/11	19:30	133	影迷嘉年華 / 名家饗宴	希望之國	The Land of Hope	普	★▲	115
友愛影城A廳	11/11	11:30	270	影迷嘉年華 / 名家饗宴	贖罪	Penance	輔	◎	113
友愛影城A廳	11/11	14:30	270	影迷嘉年華 / 名家饗宴	贖罪	Penance	輔	◎	113
友愛影城A廳	11/11	17:00	93	入圍影片	低俗喜劇	Vulgaria	限		60
友愛影城A廳	11/11	19:00	94	入圍影片	箭士柳白猿(取消)	Judge Archer	輔		無
國賓影城＠長春廣場 A 廳	11/12	12:00	90	影迷嘉年華 / 歐洲速寫	拼貼幸福	Broken	輔		141
國賓影城＠長春廣場 A 廳	11/12	14:10	114	次文化派對 / 午夜禁地	一千零一魘	Horror Stories	限		190
國賓影城＠長春廣場 A 廳	11/12	17:00	110	影迷嘉年華 / 拉丁狂熱	我的雙面童年	Clandestine Childhood	護		171
國賓影城＠長春廣場 A 廳	11/12	19:30	110	次文化派對 / 傳奇人生	在雲端上唱歌	Violeta Went to Heaven	輔		204
國賓影城＠長春廣場 A 廳	11/12	22:00	85	次文化派對 / 午夜禁地	別關燈	When the Lights Went Out	護		189
新光影城 2 廳	11/12	13:00	129	影迷嘉年華 / 拉丁狂熱	七日哈瓦那	7 Days In Havana	限		166
新光影城 2 廳	11/12	15:50	79	次文化派對 / 動畫王國	找死專賣店	The Suicide Shop	護		217
新光影城 2 廳	11/12	17:50	127	影迷嘉年華 / 歐洲速寫	綁架海尼根	The Heineken Kidnapping	輔		147
新光影城 2 廳	11/12	20:40	120	焦點影人 / 狄奧安哲羅普洛斯	養蜂人	The Beekeeper	限	▲	238
新光影城 3 廳	11/12	14:00	101	華語電影世界 / 台灣製造	即使她們從未相見＋門縫前的包裹＋撿影	Even They Never Met, The Gift, Framing of Life	護		86
新光影城 3 廳	11/12	16:30	89	影迷嘉年華 / 名家饗宴	愛,在他鄉	In Another Country	普		114
新光影城 3 廳	11/12	18:40	81	次文化派對 / 變奏青春	開膛少女的異想世界	Excision	限		183
新光影城 3 廳	11/12	20:50	84	次文化派對 / 變奏青春	婊妹 Online	King Kelly	限	★	184
光點華山電影館1廳	11/12	13:00	78	次文化派對 / 動畫王國	麥兜．噹噹伴我心	McDull．The Pork of Music	普		218
光點華山電影館1廳	11/12	15:00	88	華語電影世界 / 中國獨立映像	鐵蛋兒的情歌	The Love Songs Of Tiedan	普		96
光點華山電影館1廳	11/12	17:10	90	華語電影世界 / 中國獨立映像	焚屍人	The Cremator	輔		95
光點華山電影館1廳	11/12	19:20	98	次文化派對 / 性別越界	我們的幸福時光	Beyond the Walls	輔	▲	179
光點華山電影館1廳	11/12	21:40	126	影迷嘉年華 / 亞洲爭鳴	精牌大丈夫	Vicky Donor	普	▲	124
光點華山電影館 2 廳	11/12	15:00	88	華語電影世界 / 中國獨立映像	鐵蛋兒的情歌	The Love Songs Of Tiedan	普		96
光點華山電影館 2 廳	11/12	17:10	90	華語電影世界 / 中國獨立映像	焚屍人	The Cremator	輔		95
宜蘭演藝廳	11/12	12:20	127	入圍影片	愛	LOVE	護		63
宜蘭演藝廳	11/12	15:00	103	影迷嘉年華 / 亞洲爭鳴	三個傻瓜限屎專送	Delhi Belly	護		127
宜蘭演藝廳	11/12	17:10	102	焦點影人 / 荻上直子	海鷗食堂	Kamome Diner	普		254
宜蘭演藝廳	11/12	19:30	95	影迷嘉年華 / 逐夢美國	性福療程	The Sessions	限		160
友愛影城A廳	11/12	13:30	270	影迷嘉年華 / 名家饗宴	贖罪	Penance	輔		113
友愛影城A廳	11/12	16:30	270	影迷嘉年華 / 名家饗宴	贖罪	Penance	輔		113
友愛影城A廳	11/12	19:00	89	入圍影片	車手	Motorway	護		57
國賓影城＠長春廣場 A 廳	11/13	12:00	90	影迷嘉年華 / 歐洲速寫	拼貼幸福	Broken	輔		141
國賓影城＠長春廣場 A 廳	11/13	14:10	110	次文化派對 / 傳奇人生	在雲端上唱歌	Violeta Went to Heaven	輔		204
國賓影城＠長春廣場 A 廳	11/13	16:40	128	影迷嘉年華 / 亞洲爭鳴	落KEY人生	Key of Life	護		120
國賓影城＠長春廣場 A 廳	11/13	19:30	100	華語電影世界 / 台灣製造	水餃幾兩	Unpolitical Romance	護	★	84
國賓影城＠長春廣場 A 廳	11/13	22:10	99	次文化派對 / 經典影事	基努李維之數位任務	Side by Side	護		214
新光影城 2 廳	11/13	13:00	93	次文化派對 / 性別越界	拉拉手,到白首	Cloudburst	限		176
新光影城 2 廳	11/13	15:20	88	影迷嘉年華 / 拉丁狂熱	薄霧微光	The Towrope	普		165
新光影城 2 廳	11/13	17:30	101	焦點影人 / 克里斯馬克	堤	La jetée	護	▲	249
新光影城 2 廳	11/13	19:50	129	影迷嘉年華 / 拉丁狂熱	七日哈瓦那	7 Days In Havana	限		166
新光影城 3 廳	11/13	11:50	89	影迷嘉年華 / 名家饗宴	愛,在他鄉	In Another Country	普		114
新光影城 3 廳	11/13	14:00	84	次文化派對 / 動畫集錦：瘋狂世界	偉哉吾兔	The Great Rabbit	輔		220
新光影城 3 廳	11/13	16:10	99	次文化派對 / 傳奇人生	甘斯柏之親密自畫像	Gainsbourg by Gainsbourg: An Intimate Self-Portrait	普		203
新光影城 3 廳	11/13	18:30	87	華語電影世界 / 台灣製造	四分人＋狀況排除＋寂寞碼頭	BeFore, A Breath from the Bottom, The Solitary Pier	護	★	87
新光影城 3 廳	11/13	21:00	142	影迷嘉年華 / 亞洲爭鳴	不中用的我仰望天空	The Cowards Who Looked to the Sky	限		119
光點華山電影館1廳	11/13	12:00	98	華語電影世界 / 中國獨立映像	楊梅洲	Song of Silence	限		97
光點華山電影館1廳	11/13	14:20	90	次文化派對 / 傳奇人生	搖滾不死：傑森貝克傳奇	Jason Becker : Not Dead Yet	普		201
光點華山電影館1廳	11/13	16:30	99	華語電影世界 / 中國獨立映像	告訴他們，我乘白鶴去了	Fly with the Crane	普		91
光點華山電影館1廳	11/13	19:00	108	華語電影世界 / 中國獨立映像	有人讚美聰慧，有人則不	Don’t Expect Praises	普	★	94
